,0
ema_slope_20,0.12586506245879361
rsi_14,0.1225187219842431
ema_slope_9,0.09450389386276406
price_ema9_dist,0.08178370949725039
williams_r,0.07436515603566085
rsi_14_lag1,0.057314882793698674
macd,0.04807362745245572
mfi,0.039580095845781274
ema9_ema20_dist,0.032749884716089195
stoch_rsi,0.027340583574970816
macd_signal,0.02203090400316294
close_lag1,0.01887700930568451
rsi_14_lag2,0.01877093431506602
close,0.018511309879732114
is_green,0.016246686381438592
low,0.012641232231277789
high,0.012371442415913309
macd_diff_lag2,0.011104239705885888
ema_30,0.011033461471639895
open,0.010643959275055334
